"time", "x1", "y1", "z1", "x2", "y2", "z2"
48,0.099,-0.108,1.009,0.015,-0.091,1.051
50,0.083,-0.172,0.973,0.005,-0.043,1.058
52,0.060,-0.126,1.009,-0.014,-0.061,1.020
54,0.040,-0.132,0.970,-0.006,-0.064,1.020
56,0.066,-0.052,1.023,0.004,-0.025,1.064
58,0.084,-0.048,1.000,0.013,-0.041,1.046
60,0.083,-0.062,0.988,0.000,0.011,1.058
62,0.068,-0.032,1.007,0.002,0.002,1.019
64,0.052,-0.060,0.973,0.006,0.012,1.021
66,0.048,0.009,1.026,-0.000,0.011,1.033
68,0.062,-0.016,0.998,0.008,-0.022,1.040
70,0.088,-0.038,1.002,0.008,-0.000,1.064
72,0.083,-0.060,1.005,0.009,-0.045,1.035
74,0.062,-0.121,0.974,-0.007,-0.044,1.035
76,0.055,-0.090,1.013,-0.001,-0.064,1.036
78,0.067,-0.120,0.986,0.009,-0.078,1.035
80,0.076,-0.103,1.011,0.002,-0.053,1.061
82,0.074,-0.120,0.998,0.008,-0.072,1.037
84,0.069,-0.136,0.984,0.011,-0.035,1.047
86,0.058,-0.089,1.012,0.007,-0.043,1.029
88,0.048,-0.085,0.983,0.002,-0.031,1.026
90,0.058,-0.032,1.020,0.009,-0.009,1.044
92,0.069,-0.041,0.996,0.014,-0.019,1.037
94,0.075,-0.046,0.995,0.005,0.011,1.050
96,0.071,-0.028,1.006,0.001,-0.010,1.030
98,0.060,-0.054,0.982,0.004,-0.006,1.036
100,0.069,-0.024,1.019,-0.002,-0.013,1.041
102,0.068,-0.057,0.995,0.001,-0.036,1.037
104,0.074,-0.075,1.005,0.005,-0.023,1.060
106,0.080,-0.094,1.000,0.005,-0.054,1.037
108,0.069,-0.121,0.980,-0.003,-0.054,1.045
110,0.066,-0.091,1.012,-0.000,-0.058,1.038
112,0.059,-0.116,0.988,0.010,-0.062,1.041
114,0.064,-0.094,1.007,0.007,-0.039,1.055
116,0.067,-0.089,1.000,0.008,-0.043,1.040
118,0.061,-0.083,0.997,0.013,-0.012,1.052
120,0.064,-0.045,1.013,0.008,-0.014,1.039
122,0.060,-0.050,0.991,0.005,-0.010,1.033
124,0.062,-0.018,1.019,0.003,0.004,1.044
126,0.069,-0.031,0.998,0.010,-0.008,1.038
128,0.077,-0.039,0.999,0.000,0.007,1.052
130,0.071,-0.039,1.000,-0.001,-0.018,1.033
132,0.067,-0.063,0.989,-0.001,-0.018,1.034
134,0.073,-0.051,1.006,-0.001,-0.031,1.039
136,0.077,-0.084,0.986,-0.006,-0.044,1.038
138,0.075,-0.088,0.999,-0.002,-0.040,1.047
140,0.078,-0.093,0.998,0.005,-0.058,1.039
142,0.073,-0.107,0.992,-0.001,-0.038,1.046
144,0.068,-0.082,1.002,-0.000,-0.048,1.039
146,0.070,-0.072,0.991,0.001,-0.013,1.050
148,0.143,0.424,1.108,-0.033,0.182,1.093
150,0.075,0.191,0.735,-0.011,0.109,1.037
152,0.057,-0.415,0.923,-0.020,0.063,1.055
154,0.074,-0.333,0.995,-0.015,-0.101,0.994
156,0.111,0.086,1.221,-0.003,-0.088,1.094
158,0.146,0.181,1.168,0.032,-0.130,1.023
160,0.067,-0.187,0.934,0.027,-0.036,1.046
162,0.021,-0.355,0.886,-0.018,-0.021,1.010
164,-0.068,-0.413,0.841,0.029,-0.114,0.984
166,-0.006,-0.087,1.042,0.011,-0.099,1.075
168,0.066,0.098,1.124,0.031,-0.165,1.053
170,0.105,-0.012,1.064,0.029,-0.023,1.066
172,0.062,-0.150,1.043,0.028,0.031,1.017
174,0.017,-0.304,0.904,0.006,0.029,0.970
176,-0.010,-0.073,1.020,-0.016,0.036,1.037
178,0.074,0.111,1.014,0.008,-0.044,1.042
180,0.109,0.173,1.051,0.012,0.024,1.103
182,0.132,0.091,1.009,-0.013,0.022,1.042
184,0.078,-0.157,0.924,-0.014,0.037,1.016
186,0.072,-0.132,0.979,-0.027,0.019,1.020
188,0.066,-0.091,0.995,-0.024,-0.082,1.028
190,0.140,0.021,1.033,-0.025,-0.049,1.102
192,0.177,-0.000,1.024,-0.003,-0.084,1.076
194,0.144,-0.185,0.930,-0.020,-0.041,1.052
196,0.046,-0.189,0.989,-0.030,-0.035,1.011
