"time", "x1", "y1", "z1", "x2", "y2", "z2"
50,0.010,0.875,0.385,0.000,-0.031,1.043
52,0.072,0.870,0.516,0.001,-0.029,1.038
54,0.110,0.858,0.633,0.002,-0.030,1.044
56,0.128,0.850,0.728,0.001,-0.032,1.037
58,0.109,0.841,0.811,0.003,-0.026,1.043
60,0.073,0.833,0.861,0.002,-0.032,1.038
62,0.031,0.825,0.888,0.001,-0.025,1.043
64,-0.016,0.816,0.887,0.004,-0.031,1.042
66,-0.051,0.818,0.868,-0.001,-0.030,1.040
68,-0.078,0.818,0.828,0.002,-0.028,1.037
70,-0.105,0.828,0.785,0.002,-0.032,1.038
72,-0.137,0.829,0.729,0.003,-0.028,1.040
74,-0.169,0.833,0.679,0.001,-0.031,1.039
76,-0.164,0.851,0.624,0.001,-0.027,1.041
78,-0.146,0.869,0.569,0.004,-0.030,1.044
80,-0.134,0.881,0.516,0.001,-0.025,1.039
82,-0.120,0.887,0.466,0.002,-0.030,1.042
84,-0.113,0.883,0.428,0.003,-0.030,1.043
86,-0.104,0.876,0.387,0.001,-0.030,1.041
88,-0.100,0.868,0.363,-0.002,-0.027,1.044
90,-0.091,0.858,0.343,0.000,-0.032,1.044
92,-0.084,0.848,0.327,0.003,-0.025,1.043
94,-0.062,0.831,0.312,0.002,-0.028,1.040
96,-0.037,0.812,0.292,0.002,-0.027,1.039
98,0.003,0.794,0.273,0.005,-0.030,1.042
100,0.029,0.781,0.244,0.007,-0.026,1.044
102,0.041,0.777,0.219,0.004,-0.027,1.042
104,0.044,0.776,0.189,0.004,-0.031,1.039
106,0.022,0.792,0.166,0.007,-0.033,1.039
108,-0.000,0.806,0.156,0.006,-0.033,1.041
110,-0.029,0.822,0.154,0.003,-0.027,1.040
112,-0.053,0.834,0.155,0.009,-0.030,1.041
114,-0.069,0.851,0.172,0.001,-0.025,1.039
116,-0.080,0.864,0.205,0.002,-0.028,1.041
118,-0.091,0.872,0.241,0.006,-0.029,1.038
120,-0.104,0.879,0.285,0.004,-0.029,1.038
122,-0.107,0.885,0.332,0.001,-0.024,1.042
124,-7.784,0.124,-8.961,0.005,-0.028,1.043
126,-12.706,3.003,9.518,0.007,-0.029,1.041
128,-0.134,-1.740,0.232,0.007,-0.029,1.039
130,2.786,1.289,-1.076,0.007,-0.024,1.041
132,5.372,1.203,-2.322,0.005,-0.031,1.043
134,4.917,1.476,-1.879,0.011,-0.025,1.043
136,3.249,0.894,-0.544,0.007,-0.028,1.042
138,-0.517,0.041,2.413,0.006,-0.031,1.039
