"time", "x1", "y1", "z1", "x2", "y2", "z2"
44,0.005,-0.921,-0.443,-0.132,-0.019,1.030
49,0.006,-0.916,-0.447,-0.134,-0.043,1.026
54,0.005,-0.922,-0.448,-0.145,-0.069,1.026
59,0.004,-0.921,-0.448,-0.150,-0.075,1.020
64,0.007,-0.883,-0.434,-0.155,1.789,0.763
69,-0.003,-0.947,-0.469,0.113,0.536,0.834
74,0.015,-0.930,-0.464,-0.282,-0.486,1.564
79,0.013,-0.907,-0.423,-0.011,0.201,0.814
84,-0.002,-0.921,-0.454,-0.344,-0.480,1.266
89,-0.003,-0.934,-0.439,-0.241,0.199,0.810
94,0.003,-0.931,-0.458,-0.350,-0.045,1.008
99,-0.003,-0.889,-0.407,-0.179,0.182,0.855
104,-0.004,-0.941,-0.467,-0.157,-0.173,1.072
109,-0.006,-0.928,-0.432,-0.044,-0.171,1.130
114,-0.001,-0.937,-0.448,-0.029,-0.080,1.116
119,0.003,-0.905,-0.421,-0.063,0.018,1.125
124,0.006,-0.926,-0.456,-0.122,0.097,0.984
129,0.003,-0.923,-0.428,-0.172,-0.083,1.056
134,0.006,-0.931,-0.444,-0.161,-0.060,0.908
139,0.001,-0.924,-0.428,-0.208,-0.160,1.011
144,0.006,-0.926,-0.453,-0.182,0.017,0.904
149,0.004,-0.915,-0.433,-0.158,0.004,1.049
154,0.008,-0.922,-0.438,-0.074,0.053,0.998
159,0.006,-0.917,-0.435,-0.076,-0.114,1.145
164,0.004,-0.941,-0.458,-0.098,-0.125,1.069
169,0.010,-0.925,-0.435,-0.140,-0.090,1.082
174,0.008,-0.915,-0.442,-0.148,0.028,0.964
179,0.009,-0.916,-0.437,-0.164,0.030,0.992
184,0.002,-0.929,-0.453,-0.164,-0.049,0.972
189,0.008,-0.928,-0.439,-0.161,-0.096,1.015
194,0.003,-0.919,-0.435,-0.134,-0.090,1.008
199,0.004,-0.915,-0.446,-0.117,-0.027,1.053
204,0.002,-0.930,-0.451,-0.107,-0.003,1.057
209,0.004,-0.924,-0.443,-0.110,-0.015,1.058
214,0.004,-0.923,-0.438,-0.130,-0.067,1.025
219,0.006,-0.919,-0.443,-0.152,-0.081,1.019
224,0.005,-0.930,-0.446,-0.161,-0.059,0.999
229,0.003,-0.925,-0.439,-0.158,-0.012,0.998
234,0.007,-0.919,-0.442,-0.148,-0.015,0.997
239,0.006,-0.915,-0.439,-0.135,-0.052,1.025
244,0.007,-0.925,-0.448,-0.122,-0.078,1.044
249,0.004,-0.924,-0.445,-0.120,-0.061,1.054
254,0.002,-0.922,-0.445,-0.127,-0.027,1.039
259,0.008,-0.922,-0.447,-0.140,-0.025,1.024
264,0.006,-0.921,-0.446,-0.149,-0.047,1.016
269,0.001,-0.927,-0.446,-0.152,-0.062,1.016
274,0.003,-0.924,-0.440,-0.152,-0.052,1.010
279,0.004,-0.920,-0.438,-0.147,-0.036,1.015
284,0.003,-0.923,-0.437,-0.140,-0.022,1.019
289,0.006,-0.922,-0.438,-0.125,-0.035,1.037
294,0.006,-0.927,-0.440,-0.129,-0.056,1.042
299,0.002,-0.920,-0.438,2.000,1.962,0.513
304,0.000,-0.926,-0.444,-0.095,-0.016,1.035
309,0.001,-0.949,-0.467,0.107,-0.173,1.034
314,0.014,-0.891,-0.396,0.130,0.270,1.045
319,0.004,-0.925,-0.444,-0.010,-0.377,1.113
324,-0.001,-0.925,-0.431,-0.083,0.018,1.014
329,0.009,-0.942,-0.452,-0.228,-0.151,0.910
334,0.010,-0.888,-0.406,-0.169,0.238,0.860
339,0.002,-0.935,-0.469,-0.227,-0.100,0.829
344,0.006,-0.924,-0.435,-0.148,-0.067,1.039
349,0.006,-0.943,-0.455,-0.114,-0.156,0.977
354,0.009,-0.896,-0.418,-0.093,0.004,1.145
359,0.011,-0.928,-0.465,-0.095,0.001,1.006
364,0.009,-0.921,-0.433,-0.111,-0.040,1.180
369,0.010,-0.932,-0.447,-0.095,-0.048,0.983
374,0.006,-0.917,-0.430,-0.147,-0.119,1.108
379,0.002,-0.928,-0.458,-0.206,-0.030,0.884
384,0.008,-0.912,-0.437,-0.222,-0.042,1.022
389,0.008,-0.920,-0.439,-0.144,0.045,0.901
394,0.009,-0.913,-0.435,-0.116,-0.078,1.098
