"time", "x1", "y1", "z1", "x2", "y2", "z2"
50,0.064,-0.064,1.003,-0.001,-0.022,1.038
52,0.069,-0.062,1.000,0.001,-0.025,1.040
54,0.074,-0.064,1.000,0.000,-0.024,1.039
56,0.068,-0.066,1.000,0.002,-0.024,1.042
58,0.072,-0.065,1.002,0.003,-0.027,1.046
60,0.071,-0.062,1.003,0.001,-0.021,1.045
62,0.070,-0.060,1.005,0.000,-0.019,1.044
64,0.069,-0.061,0.999,0.000,-0.023,1.040
66,0.072,-0.060,0.999,-0.000,-0.022,1.037
68,0.072,-0.062,1.000,0.001,-0.021,1.042
70,0.070,-0.058,1.000,0.002,-0.020,1.044
72,0.070,-0.060,1.002,0.001,-0.019,1.040
74,0.071,-0.059,0.999,-0.002,-0.023,1.040
76,0.067,-0.062,1.001,0.002,-0.021,1.038
78,0.064,-0.061,0.999,0.004,-0.021,1.035
80,0.067,-0.061,0.997,0.001,-0.027,1.039
82,0.066,-0.061,1.001,0.008,-0.023,1.042
84,0.067,-0.065,0.997,0.003,-0.027,1.038
86,0.065,-0.061,1.001,0.002,-0.024,1.039
88,0.066,-0.067,1.000,0.002,-0.024,1.040
90,0.067,-0.064,1.001,0.001,-0.026,1.042
92,0.070,-0.064,1.000,0.004,-0.030,1.042
94,0.070,-0.066,1.000,0.000,-0.023,1.040
96,0.069,-0.064,1.000,-0.001,-0.022,1.040
98,0.071,-0.062,0.994,0.000,-0.022,1.043
100,0.071,-0.064,0.997,0.002,-0.024,1.042
102,0.066,-0.062,1.000,0.001,-0.021,1.039
104,0.070,-0.062,0.998,0.000,-0.023,1.041
106,0.067,-0.066,1.001,0.001,-0.028,1.041
108,0.070,-0.063,1.003,0.003,-0.025,1.039
110,0.066,-0.067,1.000,0.002,-0.031,1.041
112,0.066,-0.066,1.001,0.004,-0.029,1.042
114,0.063,-0.065,0.997,0.005,-0.028,1.040
116,0.064,-0.063,0.997,0.003,-0.021,1.042
118,0.066,-0.067,1.001,0.006,-0.022,1.042
120,0.064,-0.062,1.003,0.004,-0.025,1.039
122,0.068,-0.065,1.000,0.003,-0.028,1.040
124,0.066,-0.064,1.000,0.006,-0.028,1.041
126,0.070,-0.063,1.000,0.006,-0.024,1.044
128,0.065,-0.063,1.000,0.005,-0.025,1.044
130,0.068,-0.069,1.001,0.002,-0.029,1.043
132,0.067,-0.068,1.002,0.004,-0.022,1.044
134,0.065,-0.069,1.000,0.000,-0.022,1.039
136,0.067,-0.066,1.003,-0.001,-0.025,1.045
138,0.071,-0.064,1.000,0.004,-0.026,1.046
140,0.066,-0.067,1.002,0.004,-0.025,1.046
142,0.066,-0.065,1.001,0.003,-0.028,1.045
144,0.068,-0.063,0.997,-0.002,-0.028,1.042
146,0.066,-0.066,1.000,0.005,-0.031,1.040
148,0.065,-0.070,1.000,0.002,-0.031,1.042
150,0.065,-0.067,0.999,0.008,-0.030,1.041
152,0.065,-0.067,1.000,0.006,-0.028,1.042
154,0.068,-0.067,0.997,0.007,-0.031,1.043
156,0.064,-0.068,1.000,0.005,-0.030,1.039
158,0.062,-0.070,0.997,0.006,-0.029,1.037
160,0.065,-0.070,0.997,0.001,-0.027,1.041
162,0.066,-0.068,1.001,0.007,-0.024,1.041
164,0.064,-0.068,1.000,0.009,-0.026,1.042
166,0.067,-0.068,1.002,0.006,-0.028,1.042
168,0.069,-0.067,1.000,0.002,-0.026,1.044
170,0.069,-0.064,1.004,0.004,-0.024,1.043
172,0.070,-0.068,1.001,0.004,-0.028,1.042
174,0.067,-0.068,1.003,0.002,-0.028,1.039
176,0.065,-0.063,0.998,0.003,-0.027,1.044
178,0.069,-0.067,1.000,0.004,-0.025,1.039
180,0.066,-0.066,0.998,0.002,-0.029,1.039
182,0.063,-0.065,0.997,0.000,-0.027,1.041
184,0.068,-0.067,1.000,0.004,-0.024,1.039
186,0.065,-0.065,1.000,0.007,-0.024,1.040
188,0.062,-0.066,0.999,0.004,-0.021,1.042
190,0.064,-0.063,1.002,0.003,-0.019,1.042
192,0.068,-0.062,0.999,0.002,-0.022,1.041
194,0.063,-0.060,0.996,0.006,-0.021,1.042
196,0.065,-0.060,0.998,0.002,-0.022,1.041
198,0.067,-0.062,0.997,0.003,-0.024,1.039
200,0.067,-0.064,0.999,0.002,-0.018,1.040
202,0.072,-0.061,1.000,-0.002,-0.021,1.047
204,0.073,-0.058,1.000,-0.001,-0.025,1.045
206,0.076,-0.056,1.003,-0.001,-0.020,1.043
208,0.075,-0.064,1.004,-0.001,-0.017,1.044
210,0.074,-0.058,1.001,0.000,-0.021,1.043
212,0.073,-0.060,0.996,-0.003,-0.019,1.043
214,0.071,-0.060,1.001,-0.002,-0.016,1.044
216,0.067,-0.058,0.998,-0.002,-0.017,1.041
218,0.074,-0.062,1.000,-0.004,-0.021,1.039
220,0.071,-0.057,1.002,-0.003,-0.019,1.041
222,0.070,-0.062,0.997,-0.002,-0.017,1.039
224,0.066,-0.059,0.997,-0.002,-0.020,1.042
226,0.068,-0.061,1.000,0.002,-0.019,1.041
228,0.070,-0.056,0.999,0.000,-0.018,1.039
230,0.070,-0.058,0.997,0.002,-0.016,1.040
232,0.071,-0.062,0.997,0.000,-0.020,1.044
234,0.072,-0.059,1.000,0.001,-0.023,1.042
