"time", "x1", "y1", "z1", "x2", "y2", "z2"
48,0.130,-0.065,0.991,-0.059,-0.020,1.042
50,0.128,-0.062,0.993,-0.061,-0.021,1.035
52,0.121,-0.062,0.992,-0.057,-0.022,1.039
54,0.120,-0.064,0.994,-0.061,-0.022,1.037
56,0.115,-0.065,0.994,-0.057,-0.024,1.036
58,0.112,-0.064,0.993,-0.055,-0.028,1.036
60,0.111,-0.065,0.996,-0.051,-0.021,1.036
62,0.103,-0.067,0.991,-0.049,-0.026,1.028
64,0.104,-0.068,0.993,-0.046,-0.029,1.026
66,0.096,-0.071,0.995,-0.044,-0.029,1.030
68,0.088,-0.067,0.990,-0.034,-0.033,1.029
70,0.087,-0.066,0.997,-0.032,-0.025,1.031
72,0.084,-0.064,0.997,-0.031,-0.026,1.027
74,0.078,-0.064,0.998,-0.026,-0.026,1.027
76,0.073,-0.060,0.999,-0.026,-0.025,1.026
78,0.070,-0.056,1.001,-0.027,-0.021,1.027
80,0.073,-0.056,1.007,-0.021,-0.017,1.031
82,0.070,-0.059,1.001,-0.018,-0.021,1.031
84,0.062,-0.052,1.001,-0.018,-0.021,1.027
86,0.055,-0.056,1.002,-0.014,-0.027,1.021
88,0.036,-0.056,1.003,-0.004,-0.029,1.015
90,0.017,-0.058,1.006,0.008,-0.027,1.020
92,0.001,-0.062,1.007,0.021,-0.032,1.015
94,-0.011,-0.058,1.006,0.035,-0.031,1.010
96,-0.025,-0.062,1.007,0.041,-0.033,1.006
98,-0.030,-0.065,1.005,0.047,-0.032,1.010
100,-0.031,-0.069,1.008,0.049,-0.036,1.012
102,-0.024,-0.072,1.014,0.051,-0.039,1.017
104,-0.009,-0.081,1.013,0.048,-0.042,1.020
106,0.003,-0.083,1.010,0.041,-0.043,1.027
108,0.017,-0.079,1.008,0.033,-0.043,1.027
110,0.026,-0.075,1.013,0.021,-0.047,1.027
112,0.029,-0.068,1.008,0.013,-0.039,1.033
114,0.032,-0.065,1.009,0.010,-0.036,1.031
116,0.033,-0.057,1.011,0.016,-0.028,1.037
118,0.029,-0.054,1.007,0.027,-0.027,1.028
120,0.011,-0.048,1.008,0.042,-0.023,1.029
122,-0.007,-0.046,1.008,0.046,-0.022,1.023
124,-0.023,-0.053,1.011,0.054,-0.025,1.018
126,-0.030,-0.059,1.007,0.065,-0.031,1.016
128,-0.034,-0.068,1.007,0.070,-0.035,1.018
130,-0.030,-0.068,1.005,0.066,-0.041,1.019
132,-0.031,-0.073,1.005,0.071,-0.044,1.019
134,-0.026,-0.079,1.005,0.072,-0.047,1.021
136,-0.023,-0.083,1.005,0.067,-0.049,1.023
138,-0.016,-0.084,1.004,0.064,-0.047,1.026
140,-0.006,-0.080,1.006,0.061,-0.042,1.026
142,-0.006,-0.074,1.004,0.064,-0.044,1.028
144,-0.004,-0.071,1.007,0.062,-0.043,1.028
146,-0.003,-0.068,1.002,0.065,-0.039,1.033
148,-0.008,-0.067,1.008,0.072,-0.037,1.031
150,-0.008,-0.063,1.009,0.075,-0.032,1.036
152,-0.011,-0.062,1.007,0.079,-0.033,1.035
154,-0.012,-0.068,1.007,0.083,-0.032,1.042
156,-0.006,-0.074,1.005,0.080,-0.037,1.045
158,0.003,-0.076,1.006,0.078,-0.042,1.048
160,0.013,-0.083,1.006,0.068,-0.046,1.051
162,0.028,-0.088,1.007,0.060,-0.047,1.054
164,0.042,-0.091,1.003,0.051,-0.049,1.061
166,0.062,-0.093,1.004,0.041,-0.051,1.062
168,0.077,-0.095,1.005,0.036,-0.050,1.067
170,0.087,-0.084,1.002,0.023,-0.044,1.068
172,0.099,-0.078,1.003,0.018,-0.041,1.074
174,0.101,-0.067,1.003,0.015,-0.035,1.066
176,0.095,-0.063,0.999,0.017,-0.026,1.065
178,0.091,-0.057,1.006,0.021,-0.024,1.064
