"time", "X1", "Y1", "Z1", "X2", "Y2", "Z2"
49,-0.080,-0.898,-0.483,-0.135,-0.049,1.024
54,-0.082,-0.898,-0.483,-0.131,-0.045,1.025
59,-0.082,-0.898,-0.483,-0.136,-0.046,1.026
64,-0.076,-0.896,-0.485,-0.137,-0.046,1.026
69,-0.080,-0.896,-0.483,-0.135,-0.045,1.027
74,-0.079,-0.896,-0.483,-0.133,-0.046,1.024
79,-0.079,-0.897,-0.481,-0.136,-0.044,1.026
84,-0.079,-0.902,-0.484,-0.135,-0.045,1.021
89,-0.079,-0.897,-0.481,-0.135,-0.042,1.024
94,-0.080,-0.898,-0.483,-0.131,-0.046,1.026
99,-0.081,-0.900,-0.481,-0.135,-0.048,1.024
104,-0.077,-0.902,-0.480,-0.135,-0.041,1.027
109,-0.079,-0.900,-0.482,-0.137,-0.044,1.023
114,-0.082,-0.897,-0.483,-0.135,-0.045,1.025
119,-0.085,-0.900,-0.482,-0.138,-0.044,1.029
124,-0.080,-0.904,-0.479,-0.132,-0.042,1.026
129,-0.080,-0.899,-0.480,-0.136,-0.043,1.025
134,-0.080,-0.900,-0.477,-0.135,-0.042,1.025
139,-0.082,-0.900,-0.479,-0.135,-0.041,1.024
144,-0.079,-0.898,-0.482,-0.135,-0.043,1.027
149,-0.078,-0.895,-0.479,-0.132,-0.040,1.027
154,-0.081,-0.899,-0.481,-0.135,-0.041,1.025
159,-0.083,-0.898,-0.482,-0.136,-0.042,1.027
164,-0.078,-0.900,-0.479,-0.137,-0.043,1.024
169,-0.078,-0.901,-0.479,-0.135,-0.042,1.024
174,-0.078,-0.897,-0.481,-0.132,-0.045,1.022
179,-0.078,-0.899,-0.484,-0.136,-0.043,1.028
184,-0.080,-0.896,-0.488,-0.134,-0.046,1.027
189,-0.081,-0.895,-0.482,-0.136,-0.043,1.026
194,-0.083,-0.899,-0.479,-0.136,-0.047,1.024
199,-0.079,-0.900,-0.481,-0.133,-0.044,1.023
204,-0.080,-0.899,-0.481,-0.137,-0.043,1.026
209,-0.082,-0.898,-0.484,-0.138,-0.045,1.027
214,-0.081,-0.898,-0.484,-0.137,-0.044,1.027
219,-0.081,-0.898,-0.484,-0.138,-0.045,1.022
224,-0.079,-0.900,-0.479,-0.136,-0.043,1.026
229,-0.082,-0.902,-0.480,-0.135,-0.045,1.029
234,-0.079,-0.896,-0.481,-0.139,-0.042,1.023
239,-0.079,-0.900,-0.479,-0.139,-0.045,1.025
244,-0.078,-0.895,-0.480,-0.135,-0.043,1.025
249,-0.084,-0.905,-0.479,-0.133,-0.045,1.023
254,-0.083,-0.902,-0.478,-0.137,-0.044,1.027
259,-0.078,-0.898,-0.478,-0.138,-0.041,1.024
264,-0.077,-0.901,-0.482,-0.138,-0.045,1.024
269,-0.080,-0.893,-0.481,-0.135,-0.041,1.025
274,-0.082,-0.898,-0.480,-0.133,-0.040,1.024
279,-0.079,-0.900,-0.480,-0.137,-0.041,1.026
284,-0.082,-0.898,-0.483,-0.138,-0.044,1.024
289,-0.078,-0.898,-0.482,-0.135,-0.041,1.024
294,-0.080,-0.901,-0.484,-0.135,-0.044,1.024
299,-0.082,-0.896,-0.479,-0.130,-0.043,1.027
304,-0.080,-0.901,-0.483,-0.137,-0.044,1.021
309,-0.081,-0.902,-0.479,-0.138,-0.042,1.025
314,-0.082,-0.894,-0.478,-0.134,-0.042,1.024
319,-0.082,-0.896,-0.479,-0.135,-0.043,1.027
324,-0.083,-0.898,-0.477,-0.135,-0.044,1.029
329,-0.082,-0.896,-0.485,-0.136,-0.044,1.021
334,-0.077,-0.898,-0.484,-0.135,-0.040,1.027
339,-0.079,-0.895,-0.481,-0.137,-0.049,1.023
344,-0.083,-0.900,-0.484,-0.136,-0.047,1.026
349,-0.081,-0.897,-0.483,-0.137,-0.048,1.027
354,-0.080,-0.900,-0.482,-0.136,-0.043,1.026
359,-0.083,-0.894,-0.482,-0.140,-0.044,1.023
364,-0.080,-0.897,-0.481,-0.137,-0.046,1.023
369,-0.081,-0.897,-0.481,-0.133,-0.046,1.024
374,-0.077,-0.898,-0.482,-0.135,-0.045,1.027
379,-0.083,-0.896,-0.479,-0.134,-0.043,1.024
384,-0.079,-0.897,-0.479,-0.138,-0.042,1.024
389,-0.081,-0.898,-0.482,-0.130,-0.043,1.025
394,-0.079,-0.901,-0.480,-0.134,-0.039,1.028
399,-0.084,-0.896,-0.479,-0.136,-0.045,1.027
404,-0.080,-0.898,-0.482,-0.135,-0.042,1.023
409,-0.077,-0.898,-0.480,-0.136,-0.044,1.023
414,-0.078,-0.899,-0.478,-0.133,-0.040,1.028
419,-0.083,-0.897,-0.480,-0.133,-0.041,1.025
424,-0.080,-0.896,-0.485,-0.137,-0.044,1.026
429,-0.083,-0.896,-0.477,-0.135,-0.044,1.023
434,-0.079,-0.896,-0.483,-0.138,-0.043,1.023
