"time", "x1", "y1", "z1", "x2", "y2", "z2"
49,0.999,0.066,-0.068,-0.020,-1.043,0.004
54,0.995,0.071,-0.062,-0.024,-1.043,0.001
59,1.000,0.070,-0.068,-0.022,-1.044,0.003
64,0.998,0.067,-0.071,-0.026,-1.043,0.007
69,1.001,0.067,-0.070,-0.025,-1.040,0.009
74,1.002,0.064,-0.068,-0.025,-1.046,0.004
79,0.998,0.068,-0.062,-0.025,-1.039,0.002
84,0.997,0.068,-0.071,-0.028,-1.043,0.003
89,0.999,0.071,-0.068,-0.028,-1.042,0.003
94,0.999,0.068,-0.069,-0.029,-1.039,0.007
99,0.998,0.072,-0.071,-0.029,-1.042,0.004
104,0.997,0.070,-0.068,-0.028,-1.044,0.004
109,1.003,0.072,-0.068,-0.028,-1.036,-0.005
114,0.999,0.074,-0.072,-0.025,-1.039,-0.002
119,1.003,0.077,-0.069,-0.027,-1.041,0.001
124,0.999,0.070,-0.070,-0.027,-1.041,-0.003
129,0.999,0.077,-0.070,-0.028,-1.037,-0.002
134,0.999,0.066,-0.071,-0.030,-1.037,0.000
139,0.998,0.073,-0.072,-0.030,-1.044,-0.003
144,0.997,0.074,-0.071,-0.027,-1.040,-0.001
149,0.998,0.073,-0.068,-0.029,-1.039,-0.002
154,1.003,0.072,-0.066,-0.026,-1.043,-0.001
159,1.002,0.073,-0.068,-0.032,-1.039,0.001
164,1.003,0.073,-0.072,-0.023,-1.044,-0.001
169,0.999,0.071,-0.067,-0.024,-1.044,0.003
174,1.000,0.073,-0.069,-0.024,-1.045,0.002
179,1.001,0.071,-0.059,-0.025,-1.043,0.001
184,1.002,0.070,-0.066,-0.022,-1.043,0.005
189,0.998,0.072,-0.066,-0.022,-1.039,0.003
194,0.996,0.068,-0.067,-0.022,-1.042,0.000
199,1.002,0.070,-0.062,-0.023,-1.039,0.003
204,1.001,0.067,-0.063,-0.022,-1.038,0.004
209,1.002,0.072,-0.066,-0.023,-1.042,0.000
214,1.001,0.071,-0.067,-0.023,-1.040,0.000
219,1.000,0.066,-0.066,-0.024,-1.044,0.001
224,1.001,0.073,-0.063,-0.023,-1.037,0.004
229,0.996,0.070,-0.067,-0.018,-1.042,0.002
234,1.000,0.067,-0.063,-0.021,-1.042,0.004
239,0.998,0.069,-0.066,-0.021,-1.041,-0.002
244,1.002,0.067,-0.069,-0.022,-1.039,-0.002
249,1.000,0.065,-0.070,-0.027,-1.036,-0.000
254,0.997,0.070,-0.066,-0.028,-1.042,0.003
259,1.001,0.069,-0.065,-0.023,-1.042,0.001
264,0.999,0.072,-0.067,-0.029,-1.040,0.000
269,1.001,0.072,-0.068,-0.026,-1.042,-0.003
274,1.000,0.077,-0.070,-0.028,-1.042,0.002
279,1.002,0.075,-0.071,-0.024,-1.044,0.003
284,1.000,0.070,-0.070,-0.028,-1.038,-0.001
289,0.996,0.073,-0.068,-0.030,-1.039,0.002
294,1.001,0.071,-0.068,-0.029,-1.040,-0.003
299,1.006,0.073,-0.074,-0.028,-1.038,0.000
304,1.002,0.068,-0.073,-0.028,-1.037,0.001
309,1.000,0.075,-0.074,-0.029,-1.041,-0.001
314,1.000,0.080,-0.069,-0.027,-1.038,-0.005
319,1.001,0.074,-0.067,-0.029,-1.039,0.002
324,0.998,0.075,-0.071,-0.025,-1.036,0.002
329,1.000,0.075,-0.068,-0.028,-1.043,-0.002
334,1.000,0.068,-0.067,-0.026,-1.041,0.003
339,0.999,0.072,-0.066,-0.031,-1.039,0.001
344,0.999,0.068,-0.070,-0.028,-1.040,0.003
349,1.000,0.067,-0.069,-0.026,-1.042,0.001
354,1.002,0.071,-0.071,-0.025,-1.038,0.004
359,0.995,0.070,-0.068,-0.027,-1.042,0.004
364,0.999,0.073,-0.067,-0.027,-1.041,0.002
369,0.999,0.072,-0.065,-0.027,-1.042,0.002
374,1.001,0.070,-0.067,-0.024,-1.041,0.001
379,0.999,0.076,-0.065,-0.024,-1.042,0.003
384,1.003,0.070,-0.063,-0.026,-1.039,0.000
389,1.001,0.072,-0.070,-0.022,-1.043,0.005
394,1.000,0.070,-0.062,-0.027,-1.039,0.000
399,0.999,0.072,-0.065,-0.020,-1.040,0.001
404,1.000,0.067,-0.069,-0.024,-1.043,0.001
409,1.000,0.073,-0.067,-0.026,-1.044,0.001
414,0.997,0.074,-0.066,-0.023,-1.040,-0.001
419,0.998,0.073,-0.064,-0.026,-1.039,0.003
424,1.000,0.071,-0.066,-0.023,-1.036,0.002
429,0.999,0.071,-0.068,-0.026,-1.042,-0.001
434,0.999,0.073,-0.070,-0.026,-1.040,-0.002
439,1.002,0.072,-0.067,-0.027,-1.044,-0.001
444,1.001,0.067,-0.070,-0.029,-1.041,0.001
449,0.998,0.073,-0.069,-0.022,-1.042,-0.004
454,1.000,0.072,-0.071,-0.026,-1.039,-0.001
459,1.000,0.071,-0.067,-0.025,-1.039,0.002
464,1.001,0.072,-0.070,-0.025,-1.039,-0.001
469,0.996,0.072,-0.071,-0.029,-1.040,-0.000
474,0.999,0.073,-0.070,-0.029,-1.042,0.001
479,1.001,0.068,-0.068,-0.025,-1.039,-0.000
484,1.000,0.073,-0.067,-0.026,-1.044,0.002
489,1.000,0.070,-0.068,-0.028,-1.039,0.001
494,0.999,0.067,-0.070,-0.027,-1.041,-0.004
499,0.997,0.072,-0.070,-0.030,-1.040,0.002
504,1.001,0.070,-0.070,-0.027,-1.039,-0.001
509,1.002,0.072,-0.069,-0.026,-1.041,0.001
514,0.999,0.072,-0.068,-0.026,-1.043,0.003
519,1.001,0.074,-0.067,-0.027,-1.040,-0.004
524,1.000,0.071,-0.069,-0.027,-1.043,0.001
529,1.001,0.073,-0.069,-0.025,-1.040,0.002
534,1.001,0.070,-0.065,-0.029,-1.042,-0.003
539,1.002,0.076,-0.070,-0.024,-1.043,0.001
544,0.999,0.070,-0.065,-0.024,-1.039,0.000
549,1.001,0.075,-0.069,-0.024,-1.042,0.000
554,0.996,0.071,-0.065,-0.024,-1.042,0.002
559,1.002,0.073,-0.064,-0.022,-1.045,0.007
564,1.001,0.069,-0.066,-0.023,-1.039,0.002
569,0.996,0.069,-0.066,-0.022,-1.041,0.001
574,1.000,0.075,-0.065,-0.023,-1.043,-0.003
579,1.000,0.070,-0.068,-0.020,-1.040,-0.003
584,0.999,0.068,-0.067,-0.026,-1.043,-0.005
589,1.005,0.070,-0.065,-0.026,-1.039,0.001
594,0.995,0.071,-0.067,-0.026,-1.041,-0.001
599,0.999,0.074,-0.063,-0.025,-1.043,-0.001
604,1.001,0.073,-0.068,-0.027,-1.037,0.004
609,0.996,0.069,-0.068,-0.024,-1.038,0.000
614,0.998,0.068,-0.070,-0.024,-1.041,0.002
