"time", "x1", "y1", "z1", "x2", "y2", "z2"
51,0.062,-0.071,1.001,0.009,-0.032,-1.038
56,0.081,-0.068,0.994,-0.006,-0.027,-1.041
61,0.089,-0.062,0.995,-0.010,-0.024,-1.043
66,0.074,-0.064,0.999,-0.006,-0.020,-1.039
71,0.066,-0.067,1.001,0.007,-0.029,-1.040
76,0.052,-0.072,1.005,0.015,-0.032,-1.034
81,0.056,-0.073,0.999,0.011,-0.028,-1.040
86,0.065,-0.072,1.005,0.006,-0.026,-1.043
91,0.075,-0.068,0.998,-0.004,-0.026,-1.038
96,0.078,-0.062,1.000,-0.004,-0.025,-1.041
101,0.065,-0.061,0.998,0.003,-0.024,-1.039
106,0.051,-0.066,0.998,0.014,-0.028,-1.039
111,0.051,-0.071,1.003,0.017,-0.031,-1.039
116,0.054,-0.069,1.001,0.007,-0.031,-1.037
121,0.074,-0.070,1.000,0.002,-0.029,-1.043
126,0.080,-0.063,1.000,-0.003,-0.021,-1.047
131,0.076,-0.062,1.004,-0.000,-0.028,-1.043
136,0.064,-0.070,0.998,0.008,-0.027,-1.039
141,0.057,-0.067,1.001,0.018,-0.026,-1.039
146,0.058,-0.070,0.999,0.011,-0.033,-1.036
151,0.072,-0.070,0.999,0.005,-0.029,-1.041
156,0.074,-0.064,1.000,-0.000,-0.022,-1.043
161,0.079,-0.059,1.002,0.001,-0.024,-1.044
166,0.067,-0.062,1.003,0.002,-0.026,-1.042
171,0.062,-0.068,0.997,0.008,-0.028,-1.040
176,0.065,-0.070,1.000,0.002,-0.030,-1.041
181,0.068,-0.067,0.999,-0.002,-0.028,-1.043
186,0.074,-0.064,0.999,0.000,-0.028,-1.042
191,0.077,-0.064,0.998,-0.007,-0.026,-1.045
196,0.077,-0.069,0.996,-0.003,-0.025,-1.039
201,0.070,-0.063,0.997,0.002,-0.025,-1.040
206,0.063,-0.070,1.000,0.005,-0.026,-1.039
211,0.065,-0.068,0.998,0.002,-0.026,-1.042
216,0.069,-0.064,0.999,0.003,-0.030,-1.042
221,0.073,-0.064,1.002,-0.001,-0.024,-1.039
226,0.074,-0.063,1.002,0.000,-0.029,-1.045
231,0.065,-0.064,0.996,0.005,-0.030,-1.041
236,0.063,-0.074,1.000,0.005,-0.032,-1.040
241,0.061,-0.067,1.000,0.007,-0.030,-1.041
246,0.065,-0.067,1.000,0.009,-0.030,-1.042
251,0.068,-0.064,0.999,0.004,-0.027,-1.043
256,0.073,-0.061,0.999,0.004,-0.027,-1.041
261,0.066,-0.067,1.000,0.002,-0.029,-1.042
266,0.065,-0.069,1.002,0.009,-0.030,-1.042
271,0.061,-0.068,1.001,0.008,-0.029,-1.039
276,0.062,-0.068,0.999,0.008,-0.028,-1.040
281,0.064,-0.065,0.999,0.005,-0.029,-1.038
286,0.068,-0.065,0.997,0.000,-0.030,-1.043
291,0.066,-0.067,0.998,0.001,-0.026,-1.041
296,0.067,-0.065,0.999,0.004,-0.029,-1.039
301,0.063,-0.065,1.000,0.007,-0.030,-1.045
306,0.062,-0.067,0.999,0.007,-0.028,-1.041
311,0.068,-0.066,0.998,0.001,-0.025,-1.042
316,0.069,-0.065,0.998,0.000,-0.021,-1.039
321,0.074,-0.064,0.999,0.002,-0.028,-1.042
326,0.070,-0.063,1.002,0.001,-0.022,-1.038
331,0.068,-0.067,1.000,0.003,-0.025,-1.038
336,0.073,-0.063,1.001,0.000,-0.026,-1.040
341,0.072,-0.066,1.000,0.002,-0.026,-1.041
346,0.073,-0.066,1.000,-0.001,-0.023,-1.040
351,0.074,-0.064,1.000,0.000,-0.025,-1.041
